,id,ms_subclass,ms_zoning,lot_area,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating,central_air,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,saleprice,total_bldg_sqft,bldg_age,total_baths,total_porch
0,109,60,RL,13517.0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,No,GLQ,Unf,GasA,1,3,1,Gd,6,Typ,0,RFn,2,475.0,TA,TA,Y,0.0,130500.0,2204.0,34,2,44.0
1,544,60,RL,11492.0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,4,1,Gd,8,Typ,1,RFn,2,559.0,TA,TA,Y,0.0,220000.0,3035.0,13,3,74.0
2,153,20,RL,7922.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,GLQ,Unf,GasA,1,3,1,Gd,5,Typ,0,Unf,1,246.0,TA,TA,Y,0.0,109000.0,2114.0,57,2,52.0
3,318,60,RL,9802.0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,TA,7,Typ,0,Fin,2,400.0,TA,TA,Y,100.0,174000.0,1828.0,4,2,0.0
4,255,50,RL,14235.0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Gd,No,Unf,Unf,GasA,1,3,1,TA,6,Typ,0,Unf,2,484.0,TA,TA,N,0.0,138500.0,2121.0,110,2,59.0
5,138,20,RL,16492.0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,No,ALQ,Rec,GasA,1,2,1,Gd,6,Mod,1,Fin,2,578.0,TA,TA,Y,0.0,190000.0,3405.0,44,2,0.0
6,2827,180,RM,3675.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,TA,Gd,GLQ,Unf,GasA,1,2,1,TA,5,Typ,0,Fin,2,525.0,TA,TA,Y,0.0,140000.0,1619.0,1,3,44.0
7,145,20,RL,12160.0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,3,1,TA,6,Typ,0,RFn,2,531.0,TA,TA,Y,0.0,142000.0,2376.0,51,2,0.0
8,1942,20,RL,15783.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,2,1,TA,6,Typ,0,Unf,1,420.0,TA,TA,Y,0.0,112500.0,1848.0,55,1,324.0
9,1956,60,RL,11606.0,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,TA,Av,Rec,Unf,GasA,1,5,1,Fa,9,Typ,2,Unf,2,504.0,TA,TA,Y,335.0,135000.0,3120.0,38,2,0.0
10,1044,160,RM,1680.0,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasA,1,2,1,TA,4,Typ,0,Unf,1,264.0,TA,TA,Y,0.0,85400.0,1470.0,37,1,0.0
11,2752,20,RL,7488.0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,2,1,Gd,6,Typ,0,RFn,2,632.0,TA,TA,Y,105.0,183600.0,2416.0,1,2,58.0
13,1177,160,FV,2645.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,0,Unf,2,480.0,TA,TA,Y,169.0,200000.0,2567.0,9,3,0.0
14,1480,20,RL,9627.0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,TA,Av,GLQ,Unf,GasA,1,3,1,Gd,6,Typ,0,RFn,2,610.0,TA,TA,Y,0.0,193000.0,2712.0,1,2,50.0
15,324,20,RL,10114.0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,Av,Unf,Unf,GasA,1,3,1,Gd,7,Typ,0,RFn,2,624.0,TA,TA,Y,0.0,173500.0,2860.0,6,2,0.0
16,1311,70,RM,4571.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,0,4,1,TA,7,Typ,0,Unf,3,513.0,Fa,Fa,Y,0.0,98000.0,1968.0,92,1,96.0
17,770,20,RL,8816.0,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,Rec,Unf,GasA,1,3,1,TA,5,Typ,0,Unf,2,480.0,TA,TA,Y,0.0,139000.0,2242.0,46,2,80.0
18,2063,20,RL,8197.0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,No,Unf,Unf,GasA,1,3,1,TA,7,Typ,1,RFn,2,528.0,TA,TA,Y,138.0,143500.0,1945.0,30,1,0.0
19,69,60,FV,8640.0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,Mn,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,0,Unf,2,614.0,TA,TA,Y,169.0,215200.0,2303.0,1,2,45.0
20,2062,20,RL,8724.0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,TA,5,Typ,1,Fin,2,450.0,TA,TA,Y,0.0,129000.0,1788.0,39,1,0.0
21,351,120,RL,5664.0,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,TA,No,GLQ,Unf,GasA,1,2,1,Ex,5,Typ,1,Fin,2,499.0,TA,TA,Y,212.0,278000.0,3160.0,9,3,59.0
23,12,20,RL,7980.0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,TA,No,ALQ,Unf,GasA,1,3,1,TA,6,Typ,0,Fin,2,420.0,TA,TA,Y,483.0,185000.0,2355.0,18,3,21.0
24,2339,190,RL,34650.0,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Mn,Rec,Unf,GasA,0,3,1,TA,5,Typ,0,Fin,2,572.0,TA,TA,Y,264.0,145000.0,2112.0,51,2,0.0
25,624,20,RL,10573.0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,3,1,TA,6,Typ,1,RFn,2,530.0,TA,TA,Y,0.0,187500.0,2906.0,48,3,337.0
26,86,20,RL,8450.0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,No,GLQ,BLQ,GasA,1,3,1,TA,5,Typ,1,Unf,1,336.0,TA,TA,Y,416.0,138500.0,1788.0,45,2,144.0
27,1534,50,RL,11700.0,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,4,1,Gd,7,Min2,1,Unf,1,240.0,TA,TA,Y,0.0,198000.0,2880.0,71,2,40.0
29,1957,50,RL,8064.0,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,Mn,Unf,Unf,GasA,1,3,1,TA,6,Typ,1,Unf,2,576.0,TA,TA,Y,0.0,122900.0,1596.0,58,1,0.0
31,2860,70,RL,11435.0,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,TA,No,Unf,Unf,GasA,1,3,1,Gd,7,Typ,2,Unf,2,400.0,TA,TA,Y,0.0,230000.0,2309.0,77,1,0.0
32,2517,120,RL,9549.0,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Av,LwQ,GLQ,GasA,1,2,1,Ex,6,Typ,1,Fin,2,481.0,TA,TA,Y,0.0,270000.0,2988.0,11,2,246.0
33,1933,20,RL,10950.0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasA,1,2,1,TA,5,Typ,0,Unf,2,410.0,TA,TA,N,0.0,125000.0,1896.0,55,1,48.0
34,820,20,RL,10637.0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,TA,Gd,GLQ,Unf,GasA,1,3,1,Gd,7,Typ,1,RFn,3,826.0,TA,TA,Y,208.0,297000.0,3423.0,2,3,44.0
35,675,20,RL,9000.0,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,TA,Gd,Unf,Unf,GasA,1,2,1,TA,5,Typ,1,RFn,1,384.0,TA,TA,Y,0.0,113500.0,1302.0,51,1,92.0
36,2910,160,RM,2665.0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,No,ALQ,Rec,GasA,1,4,1,TA,6,Typ,1,RFn,1,336.0,TA,TA,Y,104.0,127000.0,2232.0,29,2,26.0
37,21,20,RL,11751.0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,TA,No,BLQ,Unf,GasA,1,3,1,TA,7,Typ,1,RFn,2,546.0,TA,TA,Y,0.0,190000.0,3688.0,33,2,122.0
38,1873,20,RL,9600.0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,No,ALQ,Unf,GasA,1,3,1,TA,6,Typ,1,Unf,2,528.0,TA,TA,Y,0.0,175500.0,2484.0,34,1,0.0
39,2125,20,RL,8428.0,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,No,GLQ,Unf,GasA,1,3,1,TA,5,Typ,0,Unf,1,384.0,TA,TA,Y,256.0,146000.0,1980.0,13,2,0.0
40,1489,20,RL,9937.0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,No,BLQ,LwQ,GasA,1,3,1,TA,6,Typ,0,Fin,1,276.0,TA,TA,Y,736.0,147500.0,2512.0,43,2,68.0
42,983,85,RL,9101.0,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,TA,Av,GLQ,Unf,GasA,1,1,1,Gd,4,Typ,1,Fin,2,602.0,TA,TA,Y,303.0,165500.0,2207.0,31,2,30.0
43,1325,50,RM,12150.0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,No,Unf,Unf,GasA,0,4,1,TA,7,Typ,0,Unf,1,352.0,Fa,TA,Y,0.0,131500.0,2845.0,54,2,0.0
44,1378,20,RL,11200.0,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Rec,Unf,GasA,1,3,1,TA,5,Typ,0,Unf,1,384.0,TA,TA,Y,0.0,129500.0,2080.0,43,2,0.0
45,1537,70,RL,9670.0,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,Fa,No,LwQ,Unf,GasA,1,4,1,TA,9,Typ,2,Fin,2,786.0,Fa,TA,Y,0.0,257076.0,2481.0,73,1,207.0
